 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_11_33_17,53464b303031325f31315f33335f3137,33,17,T91809020C40004DB0,20201218092417582_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:24:17:582,2020-12-18 09:24:21:212,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1387.00000,11382.00000,-0.36227,-0.36252,-0.37234,-0.36126,-0.36176,-0.36151,1.18262,1.17531,True,,39635,270,,,,,5000,8624,0.79987,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.56226,0.56636,0.80080,0.57170,0.47559,0.68979,0.09612,0.47559,0.27172,1801,0.85339,0.89145,0.91714,0.43959,0.54475,0.63250,,,,,,,,True,36.74611,-5.98060,0.57395
 #2,SFK0012_11_19_23,53464b303031325f31315f31395f3233,19,23,T91809020C4000C6F0,20201218092425809_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:24:25:809,2020-12-18 09:24:29:495,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1406.00000,11801.00000,-0.36126,-0.35874,-0.36730,-0.35900,-0.36051,-0.36051,1.17506,1.17204,True,,39632,270,,,,,5000,9375,0.79997,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.34813,0.40905,0.72974,0.45221,0.41969,0.57517,0.10408,0.34813,0.22324,1729,0.73786,0.77797,0.80868,0.32720,0.42734,0.51778,,,,,,,,True,37.01348,-5.95169,0.14918
 #2,SFK0012_11_87_30,53464b303031325f31315f38375f3330,87,30,T91809020C4000C8B0,20201218092434490_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,184,184,-1,3014409,3276884,2020-12-18 09:24:34:490,2020-12-18 09:24:37:954,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1465.00000,12485.00000,-0.35874,-0.35673,-0.36604,-0.35723,-0.35648,-0.35748,1.16952,1.16550,True,,39935,270,,,,,5000,9750,0.80185,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.49571,0.45694,0.68036,0.43182,0.31399,0.55915,0.18172,0.31399,0.24964,1680,0.79462,0.83500,0.86826,0.35810,0.46250,0.54876,,,,,,,,True,36.02501,-6.01802,0.11436
 #2,SFK0012_12_101_19,53464b303031325f31325f3130315f3139,101,19,T91809020C4000C430,20201218092458772_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:24:58:772,2020-12-18 09:25:01:632,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1470.00000,11727.00000,-0.36403,-0.36378,-0.37360,-0.36378,-0.36227,-0.36403,1.17859,1.17481,True,,39628,270,,,,,5000,9000,0.79056,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.54087,0.49129,0.78308,0.56617,0.43725,0.65373,0.12892,0.43725,0.25995,1783,0.81136,0.84645,0.87400,0.41680,0.51823,0.60504,,,,,,,,True,36.71587,-6.51641,0.59198
 #2,SFK0012_11_55_17,53464b303031325f31315f35355f3137,55,17,T91809020C40004C80,20201218092506257_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:06:257,2020-12-18 09:25:09:897,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1455.00000,12219.00000,-0.36025,-0.36051,-0.37083,-0.35950,-0.36151,-0.36025,1.17330,1.16927,True,,39631,270,,,,,5000,9375,0.80991,,,,,,,79,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.56239,0.52350,0.79250,0.58032,0.44435,0.67515,0.13597,0.44435,0.26632,1793,0.83760,0.86924,0.89678,0.41962,0.52453,0.61557,,,,,,,,True,36.77588,-6.46369,0.61212
 #2,SFK0012_12_97_15,53464b303031325f31325f39375f3135,97,15,T91809020C40004B10,20201218092515597_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:15:597,2020-12-18 09:25:19:253,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1401.00000,11461.00000,-0.36378,-0.36277,-0.37108,-0.36252,-0.36252,-0.36328,1.18111,1.17733,True,,39633,270,,,,,5000,8624,0.79960,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.49546,0.50936,0.78972,0.53495,0.45708,0.65796,0.07787,0.45708,0.25286,1790,0.81343,0.84881,0.87165,0.38634,0.49234,0.58338,,,,,,,,True,36.64078,-5.56852,0.10469
 #2,SFK0012_12_104_26,53464b303031325f31325f3130345f3236,104,26,T91809020C40004BB0,20201218092524030_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:24:030,2020-12-18 09:25:27:878,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1387.00000,12042.00000,-0.36554,-0.36730,-0.37712,-0.36705,-0.36705,-0.36756,1.16273,1.15819,True,,39629,270,,,,,5000,8812,0.80558,,,,,,,79,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.53251,0.48529,0.77912,0.54532,0.40533,0.64640,0.14000,0.40533,0.25265,1780,0.79841,0.83214,0.86054,0.39147,0.49688,0.58498,,,,,,,,True,36.66345,-5.97691,0.56033
 #2,SFK0012_11_79_9,53464b303031325f31315f37395f39,79,9,T91809020C4000C890,20201218092535486_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:35:486,2020-12-18 09:25:39:344,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1495.00000,12096.00000,-0.35849,-0.35648,-0.36705,-0.35673,-0.35723,-0.35572,1.18287,1.17959,True,,39632,270,,,,,5000,9562,0.80064,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.49772,0.48298,0.77446,0.52977,0.38929,0.63777,0.14049,0.38929,0.24530,1775,0.78480,0.82243,0.85232,0.36865,0.47516,0.56681,,,,,,,,True,36.67981,-6.96211,0.56520
 #2,SFK0012_11_79_7,53464b303031325f31315f37395f37,79,7,T91809020C40004CB0,20201218092543102_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:43:102,2020-12-18 09:25:46:937,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1490.00000,12135.00000,-0.35623,-0.35623,-0.36579,-0.35774,-0.35623,-0.35673,1.17985,1.17783,True,,39630,270,,,,,5000,9187,0.80309,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.49734,0.47437,0.78284,0.57759,0.44827,0.65497,0.12932,0.44827,0.25517,1783,0.80995,0.84709,0.87589,0.39497,0.50087,0.59094,,,,,,,,True,36.73278,-6.59075,0.56418
 #2,SFK0012_11_52_7,53464b303031325f31315f35325f37,52,7,T91809020C4000C700,20201218092555199_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 09:25:55:199,2020-12-18 09:25:58:542,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1431.00000,11811.00000,-0.35849,-0.35497,-0.36529,-0.35748,-0.35925,-0.35421,1.18337,1.17859,True,,39687,270,,,,,5000,9000,0.80972,,,,,,,81,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.51425,0.46173,0.76431,0.52974,0.38549,0.62388,0.14425,0.38549,0.24744,1764,0.78521,0.81882,0.84539,0.38054,0.48387,0.57225,,,,,,,,True,36.68472,-5.98268,0.55844
