 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_11_52_30,53464b303031325f31315f35325f3330,52,30,T91809020C4001C010,20201218073400232_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,181,181;184,-1,3014409,3276884,2020-12-18 07:34:00:232,2020-12-18 07:34:04:092,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1446.00000,12071.00000,-0.35723,-0.35874,-0.36604,-0.35748,-0.35623,-0.35673,1.17607,1.17229,True,,39667,270,,,,,5000,9187,0.79983,,,,,,,83,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,False,0.56107,0.47927,0.64215,0.48553,0.36762,0.58385,0.19346,0.36762,0.29487,1642,0.87429,0.92745,0.96400,0.50231,0.61602,0.70539,,,,,,,,True,36.77605,-5.86231,0.10030
 #2,SFK0012_12_69_24,53464b303031325f31325f36395f3234,69,24,T91809020C4000D5E0,20201218073420295_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:34:20:295,2020-12-18 07:34:24:183,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1460.00000,12829.00000,-0.36579,-0.36604,-0.37637,-0.36655,-0.36579,-0.36730,1.17607,1.17330,True,,39627,270,,,,,5000,9562,0.79562,,,,,,,82,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.51094,0.51996,0.74987,0.43994,0.35304,0.60902,0.16692,0.35304,0.24323,1750,0.77575,0.81209,0.83878,0.39176,0.48847,0.57008,,,,,,,,True,36.64834,-5.92369,0.54951
 #2,SFK0012_11_52_30,53464b303031325f31315f35325f3330,52,30,T91809020C4001C010,20201218073449111_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,181,181;184,-1,3014409,3276884,2020-12-18 07:34:49:111,2020-12-18 07:34:53:002,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1441.00000,12071.00000,-0.35748,-0.35572,-0.36730,-0.35673,-0.35748,-0.35748,1.17607,1.17204,True,,39627,270,,,,,5000,9187,0.79570,,,,,,,83,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,False,0.55845,0.47837,0.64282,0.48676,0.36716,0.58466,0.19129,0.36716,0.29414,1642,0.87215,0.92483,0.96373,0.50319,0.61208,0.69982,,,,,,,,True,36.83000,-6.43930,0.60513
 #2,SFK0012_12_92_24,53464b303031325f31325f39325f3234,92,24,T91809020C40001FF0,20201218073513654_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:35:13:654,2020-12-18 07:35:17:302,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1406.00000,11500.00000,-0.36479,-0.36479,-0.37360,-0.36554,-0.36504,-0.36428,1.17909,1.17431,True,,39628,270,,,,,5000,8624,0.79893,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.53820,0.51515,0.77245,0.53042,0.40138,0.64490,0.13682,0.40138,0.25700,1773,0.80313,0.83849,0.86625,0.41313,0.51213,0.59558,,,,,,,,True,36.66294,-6.78853,0.55490
 #2,SFK0012_12_52_4,53464b303031325f31325f35325f34,52,4,T91809020C40001FE0,20201218073523774_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:35:23:774,2020-12-18 07:35:27:615,2,115,-1,1,2,8007000f_3139510f_35303233,,,,107.00000,1387.00000,11560.00000,-0.35874,-0.35975,-0.36907,-0.36076,-0.36000,-0.35975,1.17808,1.17380,True,,39630,270,,,,,5000,8061,0.79471,,,,,,,81,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.54141,0.52381,0.77457,0.49205,0.37931,0.63834,0.16210,0.37931,0.25002,1775,0.79434,0.82954,0.85896,0.39361,0.49496,0.58080,,,,,,,,True,36.59271,-5.80123,0.56790
 #2,SFK0012_12_71_31,53464b303031325f31325f37315f3331,71,31,T91809020C40001E60,20201218073544078_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:35:44:078,2020-12-18 07:35:47:707,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1475.00000,12273.00000,-0.36000,-0.36000,-0.37083,-0.35975,-0.35950,-0.36176,1.17204,1.17129,True,,39626,270,,,,,5000,8624,0.79392,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.59555,0.61432,0.79433,0.63941,0.56816,0.71762,0.07125,0.56816,0.30434,1795,0.93162,0.95826,0.98121,0.52219,0.62329,0.70418,,,,,,,,True,36.78992,-5.71470,0.08738
 #2,SFK0012_12_55_23,53464b303031325f31325f35355f3233,55,23,T91809020C40001E90,20201218073555444_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:35:55:444,2020-12-18 07:35:59:103,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1465.00000,12347.00000,-0.36302,-0.36479,-0.37511,-0.36479,-0.36328,-0.36630,1.17355,1.16927,True,,39632,270,,,,,5000,9375,0.79955,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.50727,0.47610,0.73817,0.46106,0.33919,0.59431,0.16808,0.33919,0.24163,1739,0.76411,0.79407,0.81691,0.38467,0.48183,0.56266,,,,,,,,True,36.74177,-6.61618,0.60679
 #2,SFK0012_11_45_11,53464b303031325f31315f34355f3131,45,11,T91809020C4001B710,20201218073606705_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:36:06:705,2020-12-18 07:36:10:580,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1455.00000,12278.00000,-0.36076,-0.36126,-0.37032,-0.36000,-0.36051,-0.36202,1.18111,1.17859,True,,39628,270,,,,,5000,9187,0.80234,,,,,,,81,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.46295,0.46648,0.77688,0.55435,0.46659,0.64236,0.09139,0.46295,0.25105,1777,0.80055,0.83659,0.86408,0.38720,0.49106,0.57980,,,,,,,,True,36.74791,-6.56803,0.59374
 #2,SFK0012_11_105_24,53464b303031325f31315f3130355f3234,105,24,T91809020C40001F30,20201218073620415_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:36:20:415,2020-12-18 07:36:23:280,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1431.00000,12012.00000,-0.35597,-0.35799,-0.36756,-0.35698,-0.35673,-0.35723,1.16877,1.16449,True,,39631,270,,,,,5000,9000,0.79770,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.50083,0.41128,0.76524,0.56843,0.39120,0.62139,0.17723,0.39120,0.24459,1765,0.76642,0.80324,0.82986,0.37600,0.47649,0.56253,,,,,,,,True,36.56252,-5.66895,0.60144
 #2,SFK0012_11_69_26,53464b303031325f31315f36395f3236,69,26,T91809020C4001B690,20201218073631868_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 07:36:31:868,2020-12-18 07:36:35:544,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1480.00000,12618.00000,-0.36101,-0.36101,-0.36680,-0.35925,-0.36101,-0.35723,1.17985,1.17708,True,,39632,270,,,,,5000,9375,0.79158,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.51178,0.49721,0.77498,0.52367,0.40524,0.64280,0.11843,0.40524,0.25006,1775,0.79057,0.82680,0.85791,0.38265,0.48807,0.57802,,,,,,,,True,36.99917,-6.81697,0.16190
