 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,,,,,T91809020C40021B60,20201218134541604_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,105,105,-1,2047,1,2020-12-18 13:45:41:604,2020-12-18 13:45:41:764,2,1996944920,-1,1,2,8007000f_3139510f_35303233,VSS_RST:open,,,,,,-0.37133,-0.36907,-2.06653,-0.36881,-0.37083,-0.37058,1.18085,1.17481,,,,,,,,,5000,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 #2,SFK0012_11_94_16,53464b303031325f31315f39345f3136,94,16,T91809020C40013300,20201218134556903_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:45:56:903,2020-12-18 13:45:59:779,2,115,-1,1,2,8007000f_3139510f_35303233,,,,78.00000,1392.00000,11619.00000,-0.36302,-0.36403,-0.37284,-0.36227,-0.36378,-0.36428,1.18639,1.18035,True,,39660,270,,,,,5000,9000,0.80144,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.53049,0.45912,0.73378,0.48749,0.32467,0.59935,0.20582,0.32467,0.24554,1734,0.77339,0.81072,0.83881,0.38143,0.48379,0.56937,,,,,,,,True,36.01637,-6.09859,0.11460
 #2,SFK0012_12_69_15,53464b303031325f31325f36395f3135,69,15,T91809020C40021B60,20201218134606767_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:46:06:767,2020-12-18 13:46:09:638,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1446.00000,12042.00000,-0.36881,-0.36907,-0.37637,-0.36781,-0.36831,-0.36756,1.17934,1.17531,True,,39660,270,,,,,5000,9000,0.80527,,,,,,,79,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.52043,0.46604,0.75421,0.52168,0.38506,0.62392,0.13663,0.38506,0.25102,1755,0.79863,0.83426,0.86247,0.39371,0.49254,0.57778,,,,,,,,True,35.99912,-5.89802,0.12477
 #2,SFK0012_12_51_16,53464b303031325f31325f35315f3136,51,16,T91809020C40021290,20201218134635078_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:46:35:078,2020-12-18 13:46:38:942,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1372.00000,11550.00000,-0.37032,-0.36806,-0.37737,-0.36831,-0.36781,-0.36756,1.17481,1.17078,True,,39619,270,,,,,5000,8812,0.80563,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.43073,0.50506,0.73535,0.39426,0.38665,0.58871,0.11841,0.38665,0.23345,1734,0.76186,0.79619,0.82406,0.35981,0.46037,0.54378,,,,,,,,True,37.14748,-6.76607,0.13110
 #2,SFK0012_11_81_4,53464b303031325f31315f38315f34,81,4,T91809020C4001A840,20201218134646709_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:46:46:709,2020-12-18 13:46:50:535,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1392.00000,11801.00000,-0.35748,-0.35698,-0.36680,-0.35748,-0.35623,-0.35849,1.18111,1.17531,True,,39659,270,,,,,5000,8436,0.79913,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.52022,0.50048,0.75573,0.49418,0.37052,0.62602,0.14971,0.37052,0.24948,1755,0.79825,0.83355,0.86312,0.38291,0.48595,0.57557,,,,,,,,True,36.65329,-6.90645,0.54872
 #2,SFK0012_12_56_11,53464b303031325f31325f35365f3131,56,11,T91809020C400211B0,20201218134656128_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:46:56:128,2020-12-18 13:46:59:736,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1446.00000,12027.00000,-0.36756,-0.36932,-0.37536,-0.36806,-0.36705,-0.36604,1.18488,1.18010,True,,39660,270,,,,,5000,8624,0.80198,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.57827,0.52162,0.78117,0.59177,0.41570,0.66745,0.17607,0.41570,0.26977,1781,0.82879,0.86296,0.89056,0.44497,0.54559,0.63089,,,,,,,,True,36.69780,-6.96092,0.58632
 #2,SFK0012_12_34_29,53464b303031325f31325f33345f3239,34,29,T91809020C4001A970,20201218134703424_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:03:424,2020-12-18 13:47:07:283,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1377.00000,11845.00000,-0.36151,-0.36277,-0.37335,-0.36428,-0.36328,-0.36453,1.17783,1.17456,True,,39656,270,,,,,5000,8436,0.79541,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.55047,0.51270,0.73570,0.42860,0.28691,0.59580,0.26357,0.28691,0.24177,1736,0.76030,0.79754,0.82716,0.39156,0.48479,0.56372,,,,,,,,True,36.64493,-6.71873,0.57288
 #2,SFK0012_12_68_28,53464b303031325f31325f36385f3238,68,28,T91809020C400219E0,20201218134713354_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:13:354,2020-12-18 13:47:17:172,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1401.00000,12012.00000,-0.36756,-0.36856,-0.37813,-0.36781,-0.36705,-0.36630,1.17909,1.17657,True,,39659,270,,,,,5000,8812,0.80503,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.51607,0.49131,0.74004,0.47946,0.35729,0.61023,0.15878,0.35729,0.24919,1740,0.79797,0.83187,0.85629,0.38364,0.48667,0.57371,,,,,,,,True,36.65231,-6.67861,0.53627
 #2,SFK0012_12_29_4,53464b303031325f31325f32395f34,29,4,T91809020C400210E0,20201218134730421_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:30:421,2020-12-18 13:47:33:848,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1421.00000,11938.00000,-0.36428,-0.36328,-0.37108,-0.36277,-0.36302,-0.36378,1.17607,1.16952,True,,39657,270,,,,,5000,8249,0.79531,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.46809,0.47244,0.78616,0.58879,0.50604,0.66071,0.12070,0.46809,0.25890,1786,0.81491,0.85182,0.88018,0.40817,0.51208,0.59849,,,,,,,,True,36.67601,-6.84577,0.56643
 #2,SFK0012_11_97_26,53464b303031325f31315f39375f3236,97,26,T91809020C40013310,20201218134739910_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:39:910,2020-12-18 13:47:42:801,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1416.00000,11963.00000,-0.36378,-0.36579,-0.37486,-0.36252,-0.36403,-0.36428,1.17808,1.17204,True,,39653,270,,,,,5000,9000,0.79858,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.55372,0.51574,0.73803,0.44261,0.30942,0.60405,0.24430,0.30942,0.24681,1738,0.77900,0.81564,0.84423,0.40456,0.50012,0.57778,,,,,,,,True,35.99685,-6.07570,0.10966
 #2,SFK0012_12_34_10,53464b303031325f31325f33345f3130,34,10,T91809020C40021A40,20201218134748068_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:48:068,2020-12-18 13:47:51:896,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1411.00000,11766.00000,-0.36856,-0.37032,-0.37964,-0.36881,-0.37007,-0.37058,1.18564,1.17985,True,,39618,270,,,,,5000,8436,0.80326,,,,,,,78,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.57642,0.55010,0.76372,0.49310,0.35783,0.64138,0.21859,0.35783,0.25892,1764,0.82389,0.85854,0.88604,0.41668,0.51842,0.60360,,,,,,,,True,36.69395,-6.65972,0.56772
 #2,SFK0012_11_113_20,53464b303031325f31315f3131335f3230,113,20,T91809020C400132B0,20201218134757923_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:47:57:923,2020-12-18 13:48:01:564,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1406.00000,12022.00000,-0.35975,-0.35824,-0.36806,-0.36101,-0.36025,-0.35849,1.17204,1.16247,True,,39655,270,,,,,5000,8624,0.79879,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.60179,0.63213,0.78787,0.57377,0.43329,0.68761,0.19884,0.43329,0.28443,1788,0.87969,0.91343,0.93631,0.47904,0.57168,0.64891,,,,,,,,True,36.72664,-7.08223,0.12346
 #2,SFK0012_11_90_6,53464b303031325f31315f39305f36,90,6,T91809020C40013240,20201218134806934_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,181,181,-1,3014409,3276884,2020-12-18 13:48:06:934,2020-12-18 13:48:09:769,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1450.00000,12057.00000,-0.35799,-0.35799,-0.36680,-0.35623,-0.35698,-0.35950,1.18035,1.17657,True,,39619,270,,,,,5000,9000,0.79371,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,False,0.57309,0.55719,0.73739,0.36995,0.23881,0.59130,0.33427,0.23881,0.23584,1738,0.76045,0.79706,0.82852,0.39478,0.48368,0.55773,,,,,,,,True,36.65507,-6.67951,0.60541
 #2,SFK0012_11_91_5,53464b303031325f31315f39315f35,91,5,T91809020C40013440,20201218134814965_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:48:14:965,2020-12-18 13:48:18:706,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1436.00000,11663.00000,-0.35723,-0.35597,-0.36554,-0.35849,-0.35547,-0.35824,1.17708,1.17330,True,,39657,270,,,,,5000,8624,0.80379,,,,,,,80,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.51725,0.47387,0.75035,0.52765,0.39706,0.62541,0.13059,0.39706,0.25533,1750,0.81789,0.84927,0.87314,0.39764,0.50118,0.58886,,,,,,,,True,36.55714,-5.45704,0.58302
 #2,SFK0012_12_54_2,53464b303031325f31325f35345f32,54,2,T91809020C40021220,20201218134823579_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:48:23:579,2020-12-18 13:48:27:029,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1362.00000,11643.00000,-0.36126,-0.36051,-0.37184,-0.36328,-0.36353,-0.36202,1.17531,1.17078,True,,39616,270,,,,,5000,8249,0.79512,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.51903,0.48215,0.74558,0.49550,0.35855,0.61189,0.16048,0.35855,0.24883,1746,0.78449,0.81692,0.84257,0.38771,0.48737,0.57206,,,,,,,,True,36.01133,-5.97157,0.12659
 #2,SFK0012_12_11_21,53464b303031325f31325f31315f3231,11,21,T91809020C40021E50,20201218134831930_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:48:31:930,2020-12-18 13:48:35:765,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1372.00000,11899.00000,-0.36756,-0.36504,-0.37511,-0.36604,-0.36806,-0.36604,1.17481,1.16978,True,,39654,270,,,,,5000,8436,0.80233,,,,,,,78,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.52635,0.46559,0.74784,0.52801,0.36654,0.61772,0.16147,0.36654,0.25226,1748,0.78596,0.81975,0.84616,0.40261,0.49914,0.58352,,,,,,,,True,36.66067,-7.09529,0.60554
 #2,SFK0012_11_96_14,53464b303031325f31315f39365f3134,96,14,T91809020C4001A6C0,20201218134840035_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 13:48:40:035,2020-12-18 13:48:43:701,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1485.00000,11722.00000,-0.36202,-0.36101,-0.37083,-0.36076,-0.36277,-0.36076,1.18513,1.18136,True,,39623,270,,,,,5000,9375,0.79682,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.51038,0.47673,0.72770,0.53091,0.39060,0.61725,0.14031,0.39060,0.26228,1728,0.81964,0.85720,0.88559,0.41721,0.52027,0.60791,,,,,,,,True,36.69278,-6.95583,0.60648
