 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,,,,,T91809020C4000A760,20201218045225381_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,FAIL,110,110,-1,2047,1,2020-12-18 04:52:25:381,2020-12-18 04:52:25:537,2,1996944920,-1,1,2,8007000f_3139510f_35303233,VSS_INT:open;VSS_MISO:open;VSS_RST:open;VSS_MOSI:open;VSS_SCK:open;VSS_CS:open;VDD_INT:open;VDD_MISO:open,,,,,,-2.07081,-2.07257,-2.07081,-2.07257,-2.07106,-2.07055,2.62553,2.62578,,,,,,,,,5000,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 #2,SFK0012_12_61_19,53464b303031325f31325f36315f3139,61,19,T91809020C4000A760,20201218045234103_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:52:34:103,2020-12-18 04:52:37:939,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1431.00000,12253.00000,-0.36831,-0.36630,-0.37737,-0.36756,-0.36806,-0.36806,1.16978,1.16726,True,,39657,270,,,,,5000,8436,0.80128,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.56949,0.58034,0.76974,0.50905,0.40016,0.65386,0.18017,0.40016,0.26750,1770,0.82901,0.86137,0.88981,0.44481,0.54070,0.62127,,,,,,,,True,36.70254,-6.91938,0.56640
 #2,SFK0012_12_93_24,53464b303031325f31325f39335f3234,93,24,T91809020C4001AC10,20201218045335397_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:53:35:397,2020-12-18 04:53:38:269,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1446.00000,11761.00000,-0.36680,-0.36881,-0.37536,-0.36806,-0.36604,-0.36781,1.17959,1.17531,True,,39629,270,,,,,5000,9000,0.80502,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.52517,0.56943,0.77809,0.50020,0.44926,0.65537,0.12017,0.44926,0.26270,1778,0.82981,0.86008,0.88231,0.42835,0.52769,0.61070,,,,,,,,True,36.82552,-6.71860,0.14166
 #2,SFK0012_11_62_2,53464b303031325f31315f36325f32,62,2,T91809020C4001E730,20201218045402765_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:54:02:765,2020-12-18 04:54:06:594,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1426.00000,11722.00000,-0.35522,-0.35245,-0.36277,-0.35572,-0.35371,-0.35421,1.17708,1.17003,True,,39627,270,,,,,5000,8436,0.79606,,,,,,,82,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.53182,0.50407,0.78775,0.57965,0.44376,0.66805,0.13589,0.44376,0.26142,1788,0.81384,0.85336,0.88356,0.40397,0.51222,0.60534,,,,,,,,True,36.72251,-6.00779,0.57447
 #2,SFK0012_11_83_31,53464b303031325f31315f38335f3331,83,31,T91809020C4001E890,20201218045417571_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:54:17:571,2020-12-18 04:54:21:451,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1470.00000,12288.00000,-0.35849,-0.35774,-0.36579,-0.35597,-0.35648,-0.35673,1.16827,1.16449,True,,39628,270,,,,,5000,9187,0.80128,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.58585,0.58704,0.78440,0.48247,0.35829,0.65526,0.22875,0.35829,0.25671,1784,0.81236,0.84703,0.87618,0.41890,0.51453,0.59498,,,,,,,,True,36.71908,-6.84106,0.12050
 #2,SFK0012_12_24_28,53464b303031325f31325f32345f3238,24,28,T91809020C400073E0,20201218045439529_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:54:39:529,2020-12-18 04:54:43:369,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1411.00000,12372.00000,-0.36428,-0.36101,-0.37133,-0.36151,-0.36378,-0.36176,1.17028,1.16726,True,,39666,270,,,,,5000,9187,0.79840,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.56142,0.54584,0.77813,0.52932,0.39721,0.65504,0.16421,0.39721,0.26137,1778,0.82208,0.85495,0.88008,0.41508,0.51781,0.60419,,,,,,,,True,36.73479,-6.47726,0.59656
 #2,SFK0012_11_51_12,53464b303031325f31315f35315f3132,51,12,T91809020C4001E670,20201218045453220_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:54:53:220,2020-12-18 04:54:56:830,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1406.00000,11889.00000,-0.36151,-0.36227,-0.37133,-0.36277,-0.36328,-0.36378,1.18010,1.17506,True,,39629,270,,,,,5000,8624,0.79176,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.54086,0.52703,0.77211,0.48835,0.36536,0.63598,0.17550,0.36536,0.24888,1772,0.80304,0.83758,0.86257,0.37811,0.48239,0.57314,,,,,,,,True,36.63348,-5.80796,0.57296
 #2,SFK0012_11_56_4,53464b303031325f31315f35365f34,56,4,T91809020C4001E520,20201218045508446_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:55:08:446,2020-12-18 04:55:12:306,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1446.00000,11914.00000,-0.35497,-0.35547,-0.36453,-0.35623,-0.35572,-0.35673,1.18010,1.17406,True,,39632,270,,,,,5000,8812,0.79626,,,,,,,79,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.45966,0.44035,0.74986,0.52797,0.40371,0.61430,0.12427,0.40371,0.24427,1749,0.78152,0.81795,0.84786,0.36918,0.47551,0.56583,,,,,,,,True,36.63382,-5.96361,0.55399
 #2,SFK0012_12_83_12,53464b303031325f31325f38335f3132,83,12,T91809020C40010AE0,20201218045518950_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,61865984,3,2020-12-18 04:55:18:950,2020-12-18 04:55:22:390,2,-310900232,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1377.00000,11673.00000,-0.36403,-0.36529,-0.37461,-0.36353,-0.36428,-0.36428,1.17884,1.17431,True,,39632,270,,,,,5000,8249,0.80463,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.54036,0.51438,0.78567,0.54853,0.43476,0.65893,0.11377,0.43476,0.25940,1786,0.80678,0.84374,0.87151,0.40834,0.51123,0.59857,,,,,,,,True,36.59719,-5.52238,0.58702
 #2,SFK0012_11_31_31,53464b303031325f31315f33315f3331,31,31,T91809020C4001E700,20201218045534250_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:55:34:250,2020-12-18 04:55:37:875,2,115,-1,1,2,8007000f_3139510f_35303233,,,,107.00000,1475.00000,12460.00000,-0.35748,-0.35673,-0.36579,-0.35799,-0.35723,-0.35572,1.16625,1.16399,True,,39669,270,,,,,5000,8624,0.79207,,,,,,,81,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.57450,0.58693,0.79020,0.49263,0.37062,0.66112,0.21631,0.37062,0.25623,1791,0.81337,0.85142,0.88284,0.40813,0.50706,0.59026,,,,,,,,True,36.75861,-6.74951,0.12914
