 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_12_81_27,53464b303031325f31325f38315f3237,81,27,T91809020C40002220,20201218062335932_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,2047,1,2020-12-18 06:23:35:932,2020-12-18 06:23:39:604,2,1996944920,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1392.00000,11860.00000,-0.36554,-0.36705,-0.37586,-0.36756,-0.36479,-0.36403,1.17909,1.17330,True,,39630,270,,,,,5000,8624,0.80910,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.57426,0.55482,0.78329,0.58489,0.45248,0.67883,0.13241,0.45248,0.27658,1783,0.84752,0.88242,0.91103,0.45000,0.55438,0.64258,,,,,,,,True,36.72441,-6.65027,0.55912
 #2,SFK0012_12_9_16,53464b303031325f31325f395f3136,9,16,T91809020C400021C0,20201218062345693_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:23:45:693,2020-12-18 06:23:49:546,2,115,-1,1,2,8007000f_3139510f_35303233,,,,107.00000,1411.00000,12101.00000,-0.36051,-0.36051,-0.36881,-0.36025,-0.35975,-0.35925,1.16852,1.16122,True,,39628,270,,,,,5000,8812,0.79623,,,,,,,82,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.53777,0.54576,0.73327,0.42923,0.31808,0.60120,0.22768,0.31808,0.24968,1735,0.78539,0.82121,0.84850,0.40534,0.50133,0.58055,,,,,,,,True,35.96465,-6.86795,0.12331
 #2,SFK0012_12_52_18,53464b303031325f31325f35325f3138,52,18,T91809020C40002340,20201218062354321_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:23:54:321,2020-12-18 06:23:58:161,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1392.00000,11722.00000,-0.36579,-0.36579,-0.37612,-0.36479,-0.36453,-0.36831,1.17103,1.16625,True,,39632,270,,,,,5000,8061,0.79781,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.58965,0.56863,0.77167,0.54321,0.37574,0.66340,0.21391,0.37574,0.26919,1771,0.85211,0.88772,0.91181,0.42334,0.52773,0.61797,,,,,,,,True,36.66634,-5.96546,0.54665
 #2,SFK0012_12_44_15,53464b303031325f31325f34345f3135,44,15,T91809020C40002550,20201218062403539_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:03:539,2020-12-18 06:24:07:321,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1421.00000,12194.00000,-0.36831,-0.36529,-0.37788,-0.36479,-0.36730,-0.36781,1.17834,1.17154,True,,39634,270,,,,,5000,8436,0.80135,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.56524,0.53072,0.78899,0.57492,0.42410,0.66895,0.15082,0.42410,0.26553,1788,0.84240,0.87760,0.90241,0.41217,0.52084,0.61221,,,,,,,,True,36.69392,-5.85306,0.58731
 #2,SFK0012_12_25_8,53464b303031325f31325f32355f38,25,8,T91809020C40002100,20201218062412148_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:12:148,2020-12-18 06:24:15:597,2,115,-1,1,2,8007000f_3139510f_35303233,,,,117.00000,1446.00000,12032.00000,-0.36151,-0.36000,-0.37234,-0.36101,-0.36302,-0.36025,1.17657,1.17179,True,,39628,270,,,,,5000,8249,0.79182,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.57230,0.56853,0.78152,0.53166,0.41327,0.66098,0.15902,0.41327,0.26688,1782,0.81493,0.84964,0.87886,0.43649,0.53705,0.62154,,,,,,,,True,36.74461,-6.83818,0.58239
 #2,SFK0012_12_32_23,53464b303031325f31325f33325f3233,32,23,T91809020C40002390,20201218062421464_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:21:464,2020-12-18 06:24:25:284,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1441.00000,12180.00000,-0.36604,-0.36302,-0.37410,-0.36529,-0.36378,-0.36328,1.17557,1.17129,True,,39664,270,,,,,5000,8812,0.80579,,,,,,,79,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.57745,0.58675,0.78532,0.56844,0.45789,0.68616,0.12885,0.45789,0.27894,1785,0.86731,0.90284,0.93145,0.45149,0.55551,0.64324,,,,,,,,True,36.88910,-6.84921,0.14130
 #2,SFK0012_12_81_28,53464b303031325f31325f38315f3238,81,28,T91809020C40002260,20201218062432412_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:32:412,2020-12-18 06:24:36:224,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1406.00000,12017.00000,-0.36428,-0.36328,-0.37158,-0.36504,-0.36302,-0.36479,1.17657,1.17254,True,,39634,270,,,,,5000,8436,0.79690,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.59438,0.59442,0.79463,0.62452,0.49498,0.70344,0.12954,0.49498,0.29049,1795,0.87656,0.91086,0.93808,0.41489,0.50277,0.60804,,,,,,,,True,36.71092,-7.14095,0.07786
 #2,SFK0012_12_88_8,53464b303031325f31325f38385f38,88,8,T91809020C40002140,20201218062443009_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:43:009,2020-12-18 06:24:46:634,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1465.00000,12096.00000,-0.36176,-0.36176,-0.36982,-0.36126,-0.36176,-0.36101,1.17708,1.17330,True,,39635,270,,,,,5000,8624,0.80656,,,,,,,80,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.55480,0.55167,0.78037,0.57191,0.45903,0.67635,0.11288,0.45903,0.27390,1781,0.86470,0.89816,0.92418,0.42999,0.53944,0.63202,,,,,,,,True,36.72035,-6.48010,0.57266
 #2,SFK0012_12_70_12,53464b303031325f31325f37305f3132,70,12,T91809020C400026C0,20201218062456347_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:24:56:347,2020-12-18 06:24:59:786,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1372.00000,11751.00000,-0.36403,-0.36453,-0.37385,-0.36227,-0.36353,-0.36176,1.18287,1.17531,True,,39630,270,,,,,5000,8249,0.79397,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.49853,0.46009,0.77900,0.57652,0.44386,0.65291,0.13266,0.44386,0.25404,1779,0.80290,0.84093,0.87114,0.39234,0.49992,0.59269,,,,,,,,True,36.66496,-6.81808,0.55661
 #2,SFK0012_12_85_10,53464b303031325f31325f38355f3130,85,10,T91809020C400020E0,20201218062504490_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 06:25:04:490,2020-12-18 06:25:08:094,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1470.00000,12071.00000,-0.36353,-0.36403,-0.37259,-0.36403,-0.36202,-0.36302,1.17959,1.17431,True,,39647,270,,,,,5000,8624,0.80223,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.57723,0.57039,0.78496,0.60485,0.47537,0.69130,0.12948,0.47537,0.28381,1786,0.86698,0.90539,0.93315,0.46270,0.57163,0.66289,,,,,,,,True,36.74115,-6.74970,0.57007
