 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_12_61_19,53464b303031325f31325f36315f3139,61,19,T91809020C4000A760,20201218044241328_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:42:41:328,2020-12-18 04:42:44:462,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1441.00000,12293.00000,-0.42269,-0.42194,-0.43151,-0.42093,-0.42320,-0.42118,1.10205,1.09827,True,,39673,270,,,,,5000,9750,0.79233,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.58815,0.59143,0.78618,0.52828,0.41300,0.66768,0.17843,0.41300,0.26977,1786,0.83096,0.86606,0.89208,0.44626,0.54488,0.62647,,,,,,,,True,36.01180,-6.71779,0.10410
 #2,SFK0012_11_45_16,53464b303031325f31315f34355f3136,45,16,T91809020C4001E5C0,20201218044340939_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:43:40:939,2020-12-18 04:43:44:267,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1470.00000,11948.00000,-0.42043,-0.41716,-0.42974,-0.41892,-0.41892,-0.41791,1.10809,1.10381,True,,39674,270,,,,,5000,10125,0.79015,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.59349,0.58278,0.80940,0.59258,0.46745,0.69916,0.12603,0.46745,0.27629,1809,0.86159,0.89425,0.92030,0.44760,0.55555,0.64626,,,,,,,,True,36.03602,-6.05725,0.10549
 #2,SFK0012_11_63_18,53464b303031325f31315f36335f3138,63,18,T91809020C4001E630,20201218044359202_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:43:59:202,2020-12-18 04:44:02:145,2,115,-1,1,2,80070016_3139510f_35303233,,,,83.00000,1455.00000,12047.00000,-0.41766,-0.41791,-0.42622,-0.41716,-0.41867,-0.41615,1.10482,1.09953,True,,39678,270,,,,,5000,10500,0.79045,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.58693,0.57718,0.78350,0.48669,0.35470,0.65279,0.23222,0.35470,0.25597,1784,0.80889,0.84619,0.87496,0.41076,0.50926,0.59262,,,,,,,,True,36.00337,-6.73183,0.10672
 #2,SFK0012_11_83_31,53464b303031325f31315f38335f3331,83,31,T91809020C4001E890,20201218044438979_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:44:38:979,2020-12-18 04:44:42:854,2,115,-1,1,2,80070016_3139510f_35303233,,,,102.00000,1475.00000,12347.00000,-0.41212,-0.41237,-0.42068,-0.41262,-0.41212,-0.41237,1.10079,1.09726,True,,39629,270,,,,,5000,10687,0.80244,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.59435,0.60019,0.79821,0.51134,0.37591,0.66977,0.22428,0.37591,0.26081,1798,0.82083,0.85405,0.88295,0.42120,0.51944,0.60067,,,,,,,,True,35.97755,-6.16695,0.09562
 #2,SFK0012_11_16_25,53464b303031325f31315f31365f3235,16,25,T91809020C4001E7E0,20201218044450480_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:44:50:480,2020-12-18 04:44:53:461,2,115,-1,1,2,80070016_3139510f_35303233,,,,107.00000,1421.00000,12145.00000,-0.41162,-0.41162,-0.42194,-0.41162,-0.41237,-0.41287,1.09626,1.09550,True,,39672,270,,,,,5000,10500,0.80947,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.55919,0.55238,0.77599,0.50415,0.37145,0.64367,0.18774,0.37145,0.25608,1776,0.79724,0.83337,0.86214,0.40753,0.50877,0.59442,,,,,,,,True,35.91455,-6.22314,0.08707
 #2,SFK0012_11_37_12,53464b303031325f31315f33375f3132,37,12,T91809020C4001E3D0,20201218044505626_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:45:05:626,2020-12-18 04:45:09:182,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1475.00000,12229.00000,-0.41590,-0.41665,-0.42647,-0.41867,-0.41741,-0.41741,1.11489,1.10960,True,,39671,270,,,,,5000,10687,0.80202,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.61205,0.54833,0.78244,0.53122,0.31886,0.65095,0.29320,0.31886,0.25695,1783,0.78065,0.82000,0.85074,0.40506,0.50646,0.59302,,,,,,,,True,36.00353,-6.73938,0.12215
 #2,SFK0012_11_32_24,53464b303031325f31315f33325f3234,32,24,T91809020C4001E5D0,20201218044517809_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:45:17:809,2020-12-18 04:45:21:187,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1475.00000,12406.00000,-0.41590,-0.41766,-0.42572,-0.41716,-0.41564,-0.41590,1.11036,1.10583,True,,39671,270,,,,,5000,10875,0.80432,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.54523,0.53543,0.77814,0.50580,0.39014,0.64306,0.15509,0.39014,0.25401,1778,0.79450,0.82983,0.85501,0.41179,0.50848,0.59140,,,,,,,,True,35.91820,-5.91412,0.11292
 #2,SFK0012_12_49_8,53464b303031325f31325f34395f38,49,8,T91809020C40010C00,20201218044529931_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:45:29:931,2020-12-18 04:45:33:297,2,115,-1,1,2,80070016_3139510f_35303233,,,,107.00000,1426.00000,11850.00000,-0.42144,-0.42018,-0.43176,-0.42118,-0.41967,-0.42144,1.11237,1.10935,True,,39672,270,,,,,5000,9375,0.80543,,,,,,,80,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.57155,0.57979,0.81778,0.65763,0.57872,0.72470,0.08608,0.57155,0.29197,1818,0.88270,0.92016,0.94315,0.47926,0.58596,0.67764,,,,,,,,True,36.72854,-6.55133,0.56552
 #2,SFK0012_12_25_18,53464b303031325f31325f32355f3138,25,18,T91809020C400072C0,20201218044546300_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:45:46:300,2020-12-18 04:45:49:480,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1401.00000,11761.00000,-0.42093,-0.41917,-0.43075,-0.42194,-0.42219,-0.41892,1.11036,1.10583,True,,39671,270,,,,,5000,9750,0.79037,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.52909,0.49033,0.80217,0.62141,0.50115,0.67983,0.13108,0.49033,0.26702,1802,0.81649,0.85517,0.88062,0.42787,0.53253,0.62222,,,,,,,,True,35.97673,-6.09405,0.11126
 #2,SFK0012_12_19_28,53464b303031325f31325f31395f3238,19,28,T91809020C40010BD0,20201218044556792_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 04:45:56:792,2020-12-18 04:46:00:151,2,115,-1,1,2,80070016_3139510f_35303233,,,,102.00000,1421.00000,12165.00000,-0.41464,-0.41413,-0.42471,-0.41489,-0.41514,-0.41564,1.09173,1.08971,True,,39671,270,,,,,5000,10125,0.80077,,,,,,,79,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.58135,0.56457,0.79300,0.54953,0.42846,0.67027,0.15289,0.42846,0.26783,1792,0.81804,0.85160,0.87793,0.44311,0.54264,0.62599,,,,,,,,True,35.92839,-6.11034,0.11925
