 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_12_26_25,53464b303031325f31325f32365f3235,26,25,T91809020C40008F50,20201218102634112_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:26:34:112,2020-12-18 10:26:37:946,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1382.00000,12160.00000,-0.36277,-0.36403,-0.37284,-0.36353,-0.36554,-0.36403,1.17758,1.17305,True,,39635,270,,,,,5000,8812,0.79781,,,,,,,80,100,,,0,20,160,160,,,,,,,,,,,,,,,,,,,,True,0.49206,0.44702,0.81014,0.67138,0.56132,0.69034,0.22436,0.44702,0.26808,1810,0.83886,0.87513,0.90245,0.43321,0.53498,0.62195,,,,,,,,True,36.73995,-6.94506,0.05553
 #2,SFK0012_12_35_29,53464b303031325f31325f33355f3239,35,29,T91809020C400154A0,20201218102642766_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:26:42:766,2020-12-18 10:26:46:614,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1406.00000,12234.00000,-0.36378,-0.36151,-0.37083,-0.36252,-0.36126,-0.36227,1.17456,1.17154,True,,39635,270,,,,,5000,8812,0.79660,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.59666,0.60366,0.78830,0.46980,0.37549,0.66175,0.22817,0.37549,0.25950,1788,0.82626,0.86248,0.88960,0.42588,0.51888,0.59894,,,,,,,,True,36.70479,-5.92724,0.56591
 #2,SFK0012_12_5_19,53464b303031325f31325f355f3139,5,19,T91809020C40015390,20201218102749311_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:27:49:311,2020-12-18 10:27:52:945,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1431.00000,12544.00000,-0.36202,-0.36025,-0.37058,-0.36051,-0.36202,-0.36353,1.16222,1.15920,True,,39635,270,,,,,5000,8624,0.79404,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.61357,0.61973,0.78439,0.48801,0.36716,0.66421,0.25257,0.36716,0.26625,1785,0.84349,0.87704,0.90567,0.43615,0.53075,0.61049,,,,,,,,True,36.73791,-5.97030,0.58018
 #2,SFK0012_12_59_15,53464b303031325f31325f35395f3135,59,15,T91809020C40006710,20201218102758061_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:27:58:061,2020-12-18 10:28:01:685,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1397.00000,11643.00000,-0.36831,-0.36730,-0.37637,-0.36730,-0.36705,-0.36705,1.17733,1.17431,True,,39639,270,,,,,5000,8624,0.79154,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.59737,0.58210,0.79500,0.52837,0.38737,0.67147,0.21000,0.38737,0.26355,1795,0.82557,0.86048,0.88954,0.43882,0.53533,0.61567,,,,,,,,True,36.71532,-6.68464,0.56066
 #2,SFK0012_12_55_24,53464b303031325f31325f35355f3234,55,24,T91809020C40006640,20201218102806983_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:28:06:983,2020-12-18 10:28:10:799,2,115,-1,1,2,8007000f_3139510f_35303233,,,,83.00000,1485.00000,12814.00000,-0.36655,-0.36730,-0.37662,-0.36881,-0.36579,-0.36907,1.17733,1.17380,True,,39634,270,,,,,5000,9562,0.79773,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.59057,0.61193,0.79723,0.49648,0.40151,0.67458,0.21043,0.40151,0.26347,1797,0.84412,0.87543,0.90096,0.40781,0.50077,0.58673,,,,,,,,True,36.62160,-5.50121,0.13395
 #2,SFK0012_12_28_11,53464b303031325f31325f32385f3131,28,11,T91809020C40015740,20201218102824625_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:28:24:625,2020-12-18 10:28:28:063,2,115,-1,1,2,8007000f_3139510f_35303233,,,,93.00000,1406.00000,11924.00000,-0.36730,-0.36680,-0.37712,-0.36831,-0.36680,-0.36856,1.18161,1.17557,True,,39639,270,,,,,5000,8249,0.79109,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.50188,0.45459,0.80334,0.65149,0.53970,0.68090,0.19690,0.45459,0.26734,1804,0.82955,0.86355,0.88662,0.43240,0.53079,0.61770,,,,,,,,True,36.67925,-5.79629,0.59787
 #2,SFK0012_12_45_2,53464b303031325f31325f34355f32,45,2,T91809020C40006840,20201218102833000_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:28:33:000,2020-12-18 10:28:36:826,2,115,-1,1,2,8007000f_3139510f_35303233,,,,102.00000,1426.00000,12096.00000,-0.35950,-0.35774,-0.36756,-0.35849,-0.35799,-0.35950,1.17380,1.16978,True,,39638,270,,,,,5000,8436,0.80012,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.60349,0.55969,0.79543,0.58271,0.42313,0.68093,0.18036,0.42313,0.27269,1796,0.82788,0.86217,0.88848,0.45246,0.54919,0.63206,,,,,,,,True,36.70850,-7.05756,0.12959
 #2,SFK0012_12_84_16,53464b303031325f31325f38345f3136,84,16,T91809020C40006890,20201218102841551_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:28:41:551,2020-12-18 10:28:45:429,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1421.00000,11870.00000,-0.36705,-0.36756,-0.37561,-0.36579,-0.36756,-0.36604,1.18337,1.17733,True,,39637,270,,,,,5000,9187,0.80266,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.48730,0.42584,0.78811,0.63651,0.51411,0.66103,0.21067,0.42584,0.26186,1788,0.81495,0.84953,0.87513,0.42705,0.52457,0.60906,,,,,,,,True,36.65288,-5.85480,0.58833
 #2,SFK0012_12_81_29,53464b303031325f31325f38315f3239,81,29,T91809020C40008F00,20201218102850564_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:28:50:564,2020-12-18 10:28:53:433,2,115,-1,1,2,8007000f_3139510f_35303233,,,,88.00000,1416.00000,11983.00000,-0.36453,-0.36453,-0.37385,-0.36428,-0.36504,-0.36705,1.17708,1.17330,True,,39640,270,,,,,5000,9000,0.79717,,,,,,,82,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.58248,0.61426,0.80377,0.51188,0.42039,0.68263,0.19388,0.42039,0.26488,1803,0.84348,0.87676,0.89958,0.42199,0.52312,0.60910,,,,,,,,True,36.78505,-6.59004,0.12692
 #2,SFK0012_12_52_7,53464b303031325f31325f35325f37,52,7,T91809020C4000B830,20201218102934695_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:29:34:695,2020-12-18 10:29:38:535,2,115,-1,1,2,8007000f_3139510f_35303233,,,,98.00000,1406.00000,11678.00000,-0.36529,-0.36655,-0.37536,-0.36655,-0.36529,-0.36655,1.18488,1.18035,True,,39634,270,,,,,5000,8061,0.80269,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.60968,0.59705,0.77836,0.47851,0.35321,0.65275,0.25647,0.35321,0.26189,1778,0.82210,0.85679,0.88436,0.43618,0.52842,0.60575,,,,,,,,True,36.68519,-5.96492,0.55956
