 Window ID,Chip ID,Hex Chip ID,Die X,Die Y,QR Code,File Name,Module ID,Version,Test Result,Error Code,Record Error Codes,Record ID,Sensor Cols,Sensor Rows,Start Time,End Time,Sensor Type,BoardId,Pixel Size,Board Maj,Board Min,Serial Number,Open Short,CP Names,CP Values,Sleep Current,Idle Current,Work Current,INT VSS,MISO VSS,RST VSS,MOSI VSS,SCK VSS,CS VSS,INT VDD,MISO VDD,CRC TF,ROI,Cali Light Value,Cali Light Lux,Ae Slope TF,Ae Slope Mid,Ae Slope Low,Ae Slope High,Exposure,Cali Exposure,Cali BrightNess,Shading TF,Shading Value,Shading_Max Value,Shading_Min Value,Shading_Balance Value,Center TF,Center_X Value,Center_Y Value,Center_X Offset,Center_Y Offset,Crop_X,Crop_Y,Crop_W,Crop_H,Bad Point TF,Bad Point Total,Bad Point Lines,Bad Point Clusters,Bad Point Cluster Size,Dim Bad Point Total,Dim Bad Point Lines,Dim Bad Point Clusters,Dim Bad Point Cluster Size,Bad Point Thin Total,Bad Point Thin XS,Bad Point Thin S,Bad Point Thin M,Bad Point Thin L,SNR TF,SNR Value,Auto Exposure TF,Auto Exposure Value,Auto Exposure Bright,MTF TF,MTF LT,MTF RT,MTF CENTER,MTF LB,MTF RB,MTF COM,MTF Balance Value,MTF Value,MTF Scale Value,Contrast,Sagittal1,Sagittal2,Sagittal3,Tangential1,Tangential2,Tangential3,Gradient MTF Value,Gradient MTF Level,MTF Center TF,MTF Center X,MTF Center Y,MTF Calibrate current,MTF Calibrate Peek,FOV TF,FOV,Rotation,Frequency Difference
 #2,SFK0012_12_22_7,53464b303031325f31325f32325f37,22,7,T91809020C400154C0,20201218101629823_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:16:29:823,2020-12-18 10:16:33:679,2,115,-1,1,2,80070016_3139510f_35303233,,,,112.00000,1411.00000,11870.00000,-0.41942,-0.41766,-0.42798,-0.41967,-0.41867,-0.41892,1.10557,1.10155,True,,39640,270,,,,,5000,9187,0.79329,,,,,,,80,103,,,0,23,160,160,,,,,,,,,,,,,,,,,,,,True,0.61324,0.61212,0.79876,0.50885,0.37974,0.67289,0.23351,0.37974,0.26465,1799,0.81095,0.84669,0.87488,0.44053,0.53468,0.61264,,,,,,,,True,35.93787,-7.12830,0.13326
 #2,SFK0012_12_27_12,53464b303031325f31325f32375f3132,27,12,T91809020C40008E40,20201218101745677_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:17:45:677,2020-12-18 10:17:49:224,2,115,-1,1,2,80070016_3139510f_35303233,,,,98.00000,1372.00000,11604.00000,-0.42244,-0.42370,-0.43251,-0.42521,-0.42345,-0.42496,1.11313,1.10809,True,,39571,270,,,,,5000,10125,0.80824,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.61217,0.62464,0.81924,0.54166,0.42888,0.69630,0.19576,0.42888,0.26944,1819,0.83858,0.87639,0.90660,0.43905,0.54011,0.62405,,,,,,,,True,36.65572,-6.98212,0.12515
 #2,SFK0012_12_68_29,53464b303031325f31325f36385f3239,68,29,T91809020C40008FC0,20201218101754395_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:17:54:395,2020-12-18 10:17:57:552,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1411.00000,12145.00000,-0.42219,-0.42169,-0.43201,-0.42244,-0.42118,-0.42219,1.10935,1.10431,True,,39570,270,,,,,5000,10500,0.79745,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.55557,0.54538,0.81901,0.63038,0.51761,0.70766,0.11277,0.51761,0.27459,1819,0.84054,0.87751,0.90419,0.44416,0.54937,0.63828,,,,,,,,True,36.00969,-6.12889,0.09918
 #2,SFK0012_12_76_5,53464b303031325f31325f37365f35,76,5,T91809020C400049A0,20201218101803302_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:18:03:302,2020-12-18 10:18:06:849,2,115,-1,1,2,80070016_3139510f_35303233,,,,102.00000,1416.00000,11830.00000,-0.41892,-0.41892,-0.43050,-0.42093,-0.41867,-0.41917,1.11313,1.10859,True,,39570,270,,,,,5000,10125,0.79880,,,,,,,79,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.60700,0.62141,0.80675,0.54291,0.42943,0.68889,0.19198,0.42943,0.27279,1807,0.84390,0.88258,0.90990,0.44622,0.54433,0.62813,,,,,,,,True,35.96274,-7.23061,0.13747
 #2,SFK0012_12_34_23,53464b303031325f31325f33345f3233,34,23,T91809020C40008E30,20201218101820046_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:18:20:046,2020-12-18 10:18:23:008,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1406.00000,11943.00000,-0.42420,-0.42093,-0.43377,-0.42169,-0.42395,-0.42320,1.10910,1.10784,True,,39642,270,,,,,5000,10500,0.80994,,,,,,,81,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.55154,0.51260,0.81325,0.64780,0.53113,0.70154,0.13520,0.51260,0.27582,1814,0.83990,0.87989,0.90559,0.44993,0.55524,0.64552,,,,,,,,True,36.03469,-6.86756,0.12738
 #2,SFK0012_12_76_15,53464b303031325f31325f37365f3135,76,15,T91809020C40008DD0,20201218101829421_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:18:29:421,2020-12-18 10:18:32:555,2,115,-1,1,2,80070016_3139510f_35303233,,,,88.00000,1411.00000,11914.00000,-0.42269,-0.42269,-0.43226,-0.42269,-0.42370,-0.42370,1.11388,1.10734,True,,39570,270,,,,,5000,10500,0.79634,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.57601,0.54512,0.81130,0.63027,0.50144,0.70626,0.12883,0.50144,0.27768,1811,0.84910,0.89046,0.91818,0.45241,0.56159,0.65482,,,,,,,,True,36.57550,-5.71645,0.12497
 #2,SFK0012_12_12_14,53464b303031325f31325f31325f3134,12,14,T91809020C40008FA0,20201218101837127_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:18:37:127,2020-12-18 10:18:40:883,2,115,-1,1,2,80070016_3139510f_35303233,,,,98.00000,1387.00000,11771.00000,-0.42118,-0.42144,-0.43125,-0.42169,-0.42018,-0.42219,1.10683,1.10029,True,,39569,270,,,,,5000,9937,0.79806,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.60461,0.63730,0.80305,0.48660,0.38375,0.67611,0.25355,0.38375,0.26303,1802,0.83583,0.87190,0.89981,0.44152,0.53359,0.61039,,,,,,,,True,35.97478,-7.04662,0.12640
 #2,SFK0012_12_28_8,53464b303031325f31325f32385f38,28,8,T91809020C40006650,20201218101930681_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:19:30:681,2020-12-18 10:19:34:032,2,115,-1,1,2,80070016_3139510f_35303233,,,,107.00000,1411.00000,11417.00000,-0.42169,-0.42194,-0.43251,-0.42093,-0.42269,-0.42144,1.11011,1.10557,True,,39570,270,,,,,5000,9750,0.80420,,,,,,,80,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.56912,0.56320,0.80753,0.57945,0.45205,0.69009,0.12740,0.45205,0.26795,1808,0.82447,0.86606,0.89423,0.42474,0.53081,0.62106,,,,,,,,True,36.63375,-7.25907,0.14446
 #2,SFK0012_12_26_27,53464b303031325f31325f32365f3237,26,27,T91809020C400066B0,20201218101941623_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:19:41:623,2020-12-18 10:19:44:778,2,115,-1,1,2,80070016_3139510f_35303233,,,,93.00000,1397.00000,11924.00000,-0.42043,-0.41992,-0.43125,-0.41942,-0.41841,-0.42093,1.10658,1.10129,True,,39570,270,,,,,5000,10500,0.80733,,,,,,,81,102,,,0,22,160,160,,,,,,,,,,,,,,,,,,,,True,0.56619,0.56640,0.80632,0.56782,0.46762,0.68725,0.10020,0.46762,0.26888,1807,0.82644,0.86523,0.89227,0.43306,0.53562,0.62268,,,,,,,,True,36.76370,-6.67973,0.59707
 #2,SFK0012_12_18_9,53464b303031325f31325f31385f39,18,9,T91809020C400065E0,20201218101950271_#2,JV0302,develop: 2020-12-16 21:55:41 +080076dfe4a74c312be6b63fd3be86c87714b9cb2e33,PASSED,0,,-1,3014409,3276884,2020-12-18 10:19:50:271,2020-12-18 10:19:53:662,2,115,-1,1,2,80070016_3139510f_35303233,,,,112.00000,1431.00000,12002.00000,-0.41992,-0.42118,-0.43100,-0.42169,-0.41992,-0.41942,1.10532,1.10155,True,,39644,270,,,,,5000,10125,0.79477,,,,,,,80,101,,,0,21,160,160,,,,,,,,,,,,,,,,,,,,True,0.55853,0.49922,0.77181,0.55972,0.39914,0.65077,0.16058,0.39914,0.26128,1772,0.79837,0.83716,0.86729,0.41301,0.51341,0.59887,,,,,,,,True,35.96786,-6.74327,0.10710
